Region,iso3,Country,City,Year,Annual.mean,Temporal coverage,note on converted PM10,"Annual mean, ug/m3",Temporal coverage,note on converted PM2.5,Number and type of monitoring stations,Reference for air quality,Database version (year),status
Western Pacific (HIC),AUS,Australia,Busselton,2015,(20)-converted value,NA,Converted,9,NA,Measured,1 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Western Pacific (HIC),AUS,Australia,Busselton,2016,(19)-converted value,NA,Converted,8,>75%,Measured,2 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Western Pacific (HIC),AUS,Australia,Canberra,2010,11,NA,Measured,7,NA,Measured,NA,ACT Air Quality Reports,2018,
Western Pacific (HIC),AUS,Australia,Canberra,2011,10,NA,Measured,6,NA,Measured,NA,ACT Air Quality Reports,2018,
Western Pacific (HIC),AUS,Australia,Canberra,2012,10,NA,Measured,7,NA,Measured,NA,ACT Air Quality Reports,2018,
Western Pacific (HIC),AUS,Australia,Canberra,2013,10,NA,Measured,7,NA,Measured,NA,ACT Air Quality Reports,2018,
Western Pacific (HIC),AUS,Australia,Canberra,2014,10,NA,Measured,7,NA,Measured,NA,ACT Air Quality Reports,2018,
Western Pacific (HIC),AUS,Australia,Central Coast,2014,(13)-converted value,NA,Converted,6,NA,Measured,-,http://www.environment.nsw.gov.au/resources/aqms/150004nswairqual14.pdf,2016,
Western Pacific (HIC),AUS,Australia,City Of Ipswich,2015,15,>75%,Measured,(6)-converted value,NA,Converted,1 N.A.,Queensland Government Data,2018,
Western Pacific (HIC),AUS,Australia,City Of Ipswich,2016,13,>75%,Measured,(6)-converted value,NA,Converted,1 N.A.,Queensland Government Data,2018,
Western Pacific (HIC),AUS,Australia,Collie,2010,23,NA,Measured,(10)-converted value,NA,Converted,1 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Western Pacific (HIC),AUS,Australia,Collie,2011,20,NA,Measured,(9)-converted value,NA,Converted,1 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Western Pacific (HIC),AUS,Australia,Collie,2012,20,NA,Measured,(9)-converted value,NA,Converted,1 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Western Pacific (HIC),AUS,Australia,Collie,2013,20,NA,Measured,(9)-converted value,NA,Converted,1 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Western Pacific (HIC),AUS,Australia,Collie,2014,19,NA,Measured,(8)-converted value,NA,Converted,1 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Western Pacific (HIC),AUS,Australia,Collie,2015,22,NA,Measured,(10)-converted value,NA,Converted,1 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Western Pacific (HIC),AUS,Australia,Collie,2016,19,>75%,Measured,(8)-converted value,NA,Converted,2 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Western Pacific (HIC),AUS,Australia,Darwin,2013,20,>75%,Measured,7,>75%,Measured,1 Urban,NT-EPA,2018,
Western Pacific (HIC),AUS,Australia,Darwin,2014,22,>75%,Measured,8,>75%,Measured,1 Urban,NT-EPA,2018,
Western Pacific (HIC),AUS,Australia,Darwin,2015,22,>75%,Measured,9,>75%,Measured,1 Urban,NT-EPA,2018,
Western Pacific (HIC),AUS,Australia,Darwin,2016,16,>75%,Measured,6,>75%,Measured,1 Urban,NT-EPA,2018,
Western Pacific (HIC),AUS,Australia,Devonport,2013,(15)-converted value,NA,Converted,6,NA,Measured,-,Environment Protection Authority,2016,
Western Pacific (HIC),AUS,Australia,Geelong,2014,18,NA,Measured,(8)-converted value,NA,Converted,"1 station, Residential/Light Industry","EPA Victoria, Environment Protection Authority Macleod",2016,
Western Pacific (HIC),AUS,Australia,Geraldton,2010,22,NA,Measured,(9)-converted value,NA,Converted,1 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Western Pacific (HIC),AUS,Australia,Geraldton,2011,20,NA,Measured,(9)-converted value,NA,Converted,1 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Western Pacific (HIC),AUS,Australia,Geraldton,2012,21,NA,Measured,(9)-converted value,NA,Converted,1 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Western Pacific (HIC),AUS,Australia,Geraldton,2013,21,NA,Measured,(9)-converted value,NA,Converted,1 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Western Pacific (HIC),AUS,Australia,Geraldton,2014,22,NA,Measured,(10)-converted value,NA,Converted,1 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Western Pacific (HIC),AUS,Australia,Geraldton,2015,20,NA,Measured,(9)-converted value,NA,Converted,1 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Western Pacific (HIC),AUS,Australia,Geraldton,2016,19,>75%,Measured,(8)-converted value,NA,Converted,2 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Western Pacific (HIC),AUS,Australia,Gladstone,2015,13,>75%,Measured,4,>75%,Measured,5 N.A.,Queensland Government Data,2018,
Western Pacific (HIC),AUS,Australia,Gladstone,2016,14,>75%,Measured,5,>75%,Measured,5 N.A.,Queensland Government Data,2018,
Western Pacific (HIC),AUS,Australia,Hobart,2013,(14)-converted value,NA,Converted,6,NA,Measured,-,Environment Protection Authority,2016,
Western Pacific (HIC),AUS,Australia,Jondaryan,2015,19,>75%,Measured,6,>75%,Measured,1 N.A.,Queensland Government Data,2018,
Western Pacific (HIC),AUS,Australia,Jondaryan,2016,17,50% -< 75%,Measured,5,50% -< 75%,Measured,1 N.A.,Queensland Government Data,2018,
Western Pacific (HIC),AUS,Australia,La Trobe Valley,2014,20,NA,Measured,10,NA,Measured,"2 stations, residential, rural",http://www.epa.vic.gov.au/our-work/monitoring-the-environment/monitoring-victorias-air/monitoring-results/~/media/Files/Our%20work/Monitoring%20the%20environment/Monitoring%20Vics%20air/monitoring%20results/2013-data-tables.pdf,2016,
Western Pacific (HIC),AUS,Australia,Launceston,2013,(19)-converted value,NA,Converted,8,NA,Measured,-,Environment Protection Authority,2016,
Western Pacific (HIC),AUS,Australia,Lower Hunter,2014,(17)-converted value,NA,Converted,7,NA,Measured,-,http://www.environment.nsw.gov.au/resources/aqms/150004nswairqual14.pdf,2016,
Western Pacific (HIC),AUS,Australia,Mackay,2015,22,>75%,Measured,(10)-converted value,NA,Converted,1 N.A.,Queensland Government Data,2018,
Western Pacific (HIC),AUS,Australia,Mackay,2016,20,>75%,Measured,(9)-converted value,NA,Converted,1 N.A.,Queensland Government Data,2018,
Western Pacific (HIC),AUS,Australia,Melbourne,2014,19,NA,Measured,8,NA,Measured,"10 stations, Residential/Light Industry",http://www.epa.vic.gov.au/our-work/monitoring-the-environment/monitoring-victorias-air/monitoring-results/~/media/Files/Our%20work/Monitoring%20the%20environment/Monitoring%20Vics%20air/monitoring%20results/2013-data-tables.pdf,2016,
Western Pacific (HIC),AUS,Australia,Moranbah,2015,21,>75%,Measured,(9)-converted value,NA,Converted,1 N.A.,Queensland Government Data,2018,
Western Pacific (HIC),AUS,Australia,Moranbah,2016,22,>75%,Measured,(10)-converted value,NA,Converted,1 N.A.,Queensland Government Data,2018,
Western Pacific (HIC),AUS,Australia,Mount Isa,2015,19,>75%,Measured,(8)-converted value,NA,Converted,1 N.A.,Queensland Government Data,2018,
Western Pacific (HIC),AUS,Australia,Mount Isa,2016,17,>75%,Measured,(7)-converted value,NA,Converted,1 N.A.,Queensland Government Data,2018,
Western Pacific (HIC),AUS,Australia,Muswellbrook,2013,23,>75%,Measured,9,>75%,Measured,1 Population Centre,Office of Environment and Heritage NSW Government,2018,
Western Pacific (HIC),AUS,Australia,Muswellbrook,2014,21,>75%,Measured,10,>75%,Measured,1 Population Centre,Office of Environment and Heritage NSW Government,2018,
Western Pacific (HIC),AUS,Australia,Muswellbrook,2015,19,>75%,Measured,9,>75%,Measured,1 Population Centre,Office of Environment and Heritage NSW Government,2018,
Western Pacific (HIC),AUS,Australia,Muswellbrook,2016,19,>75%,Measured,8,>75%,Measured,1 Population Centre,Office of Environment and Heritage NSW Government,2018,
Western Pacific (HIC),AUS,Australia,Newcastle,2013,22,>75%,Measured,8,>75%,Measured,"2 Campaign Site, 1 Trend Site",Office of Environment and Heritage NSW Government,2018,
Western Pacific (HIC),AUS,Australia,Newcastle,2014,19,>75%,Measured,7,>75%,Measured,"2 Campaign Site, 1 Trend Site",Office of Environment and Heritage NSW Government,2018,
Western Pacific (HIC),AUS,Australia,Newcastle,2015,23,>75%,Measured,8,>75%,Measured,"2 Campaign Site, 3 Non Nepm Site, 1 Trend Site",Office of Environment and Heritage NSW Government,2018,
Western Pacific (HIC),AUS,Australia,Newcastle,2016,23,>75%,Measured,8,>75%,Measured,"2 Campaign Site, 3 Non Nepm Site, 1 Trend Site",Office of Environment and Heritage NSW Government,2018,
Western Pacific (HIC),AUS,Australia,Palmerston,2012,26,>75%,Measured,12,>75%,Measured,1 Sub-Urban,,2018,
Western Pacific (HIC),AUS,Australia,Palmerston,2014,21,>75%,Measured,9,>75%,Measured,1 Sub-Urban,,2018,
Western Pacific (HIC),AUS,Australia,Palmerston,2015,20,>75%,Measured,8,>75%,Measured,1 Sub-Urban,,2018,
Western Pacific (HIC),AUS,Australia,Palmerston,2016,15,>75%,Measured,7,>75%,Measured,1 Sub-Urban,,2018,
Western Pacific (HIC),AUS,Australia,Perth,2010,17,NA,Measured,8,NA,Measured,4 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Western Pacific (HIC),AUS,Australia,Perth,2011,16,NA,Measured,7,NA,Measured,4 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Western Pacific (HIC),AUS,Australia,Perth,2012,17,NA,Measured,8,NA,Measured,4 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Western Pacific (HIC),AUS,Australia,Perth,2013,16,NA,Measured,8,NA,Measured,4 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Western Pacific (HIC),AUS,Australia,Perth,2014,17,NA,Measured,8,NA,Measured,4 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Western Pacific (HIC),AUS,Australia,Perth,2015,17,NA,Measured,8,NA,Measured,4 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Western Pacific (HIC),AUS,Australia,Perth,2016,15,>75%,Measured,8,>75%,Measured,8 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Western Pacific (HIC),AUS,Australia,Singleton,2013,23,>75%,Measured,8,>75%,Measured,1 Population Centre,Office of Environment and Heritage NSW Government,2018,
Western Pacific (HIC),AUS,Australia,Singleton,2014,21,>75%,Measured,8,>75%,Measured,1 Population Centre,Office of Environment and Heritage NSW Government,2018,
Western Pacific (HIC),AUS,Australia,Singleton,2015,19,>75%,Measured,8,>75%,Measured,1 Population Centre,Office of Environment and Heritage NSW Government,2018,
Western Pacific (HIC),AUS,Australia,Singleton,2016,19,>75%,Measured,8,>75%,Measured,1 Population Centre,Office of Environment and Heritage NSW Government,2018,
Western Pacific (HIC),AUS,Australia,Sydney,2013,17,>75%,Measured,8,>75%,Measured,"2 Campaign Site, 4 Non Nepm Site, 3 Peformance Site, 1 Tend Site, 5 Trend Site",Office of Environment and Heritage NSW Government,2018,
Western Pacific (HIC),AUS,Australia,Sydney,2014,17,>75%,Measured,8,>75%,Measured,"2 Campaign Site, 4 Non Nepm Site, 3 Peformance Site, 1 Tend Site, 5 Trend Site",Office of Environment and Heritage NSW Government,2018,
Western Pacific (HIC),AUS,Australia,Sydney,2015,16,>75%,Measured,8,>75%,Measured,"2 Campaign Site, 4 Non Nepm Site, 3 Peformance Site, 1 Tend Site, 5 Trend Site",Office of Environment and Heritage NSW Government,2018,
Western Pacific (HIC),AUS,Australia,Sydney,2016,17,>75%,Measured,8,>75%,Measured,"2 Campaign Site, 4 Non Nepm Site, 3 Peformance Site, 1 Tend Site, 5 Trend Site",Office of Environment and Heritage NSW Government,2018,
